,Club,Age,Height,National,Positions,TotAD,WonAD,LostAD,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,UnDrib,SucDrib,TotDrib,Fouled,Fouls,TotGs,SYBGs,PAGs,OOBGs,TotInt,TotKPs,LKPs,SKPs,COF,TotPs,AccLB,InAccLB,AccSP,InAccSP,UnTch,Dispo,TotSav,SYBSav,PASav,OOBSav,TotSh,OOBSh,SYBSh,PASh,TotTkl,DribPast,TotAttTkl,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,CLB,Main_position,Foot,Contract,Market_Value
49,Lecce,31 years old (21-09-1993),"1,85m",Croatia,"Attacking Midfielder (Centre, Left, Right), Forward",2.3,1,1.3,-,-,-,-,-,-,-,-,-,0.2,0.1,-,0.2,0.8,0.3,1.1,0.5,0.7,-,-,-,,0.1,0.7,0.1,0.5,0.2,9.8,0.2,0.2,6.3,3.2,1.4,0.5,-,-,-,-,0.5,0.1,-,0.3,0.4,0.2,0.6,Ante Rebic,7(19),736,1,-,3,1,0.5,65.7,1,-,6.17,SerieA,US Lecce,Left Winger,right,"Jun 30, 2025",€1.50m
50,Verona,25 years old (26-05-1999),"1,78m",France,Midfielder (Centre),1,0.5,0.5,-,-,-,-,-,-,-,0.1,-,0.4,0.2,-,0.3,0.2,0.1,0.3,0.3,1.5,0.1,0.1,-,,0.5,0.9,0.2,0.7,-,18.8,1.1,1,13.2,3.5,1.2,0.5,-,-,-,-,0.4,0.3,-,0.1,1.4,0.6,2,Antoine Bernede,6(4),488,1,-,2,-,0.4,76.1,0.5,-,6.31,SerieA,Hellas Verona,Central Midfield,right,"Jun 30, 2025",€3.50m
51,Parma Calcio 1913,23 years old (18-02-2002),"1,87m",France,Defender (Right),1.6,1.1,0.5,-,-,-,-,-,-,-,0.1,0.5,0.4,0.1,-,1.8,0.5,0.5,1,0.6,0.5,-,-,-,,0.6,0.2,0.1,0.1,-,15.6,0.7,1,11.3,2.7,0.8,0.3,-,-,-,-,0.2,0.1,-,0.1,1.1,0.1,1.2,Antoine Hainaut,8(13),965,1,-,2,-,0.2,76.5,1.1,-,6.53,SerieA,Parma Calcio 1913,Right-Back,right,"Jun 30, 2026",€1.00m
52,Cagliari,26 years old (18-07-1998),"1,87m",Congo,Defensive Midfielder (C),0.7,0.1,0.6,-,-,-,-,-,-,-,0.1,0.1,0.7,-,-,0.7,0.3,0.3,0.7,0.5,0.8,-,-,-,,0.5,0.1,-,0.1,-,35.1,1.1,1.4,30.4,2.3,0.5,0.7,-,-,-,-,0.2,0.2,-,-,1.3,0.2,1.4,Antoine Makoumbou,23(6),1886,-,1,1,1,0.2,89.5,0.1,1,6.27,SerieA,Cagliari Calcio,Defensive Midfield,right,"Jun 30, 2026",€4.00m
53,Lecce,25 years old (05-01-2000),"1,83m",Italy,Defender (Left),1.9,0.8,1.1,-,-,-,-,-,-,0.1,0.1,0.6,1,0.1,-,3.4,0.6,0.4,1,0.6,0.4,-,-,-,,0.7,1.4,0.5,1,0.1,28.4,1.9,3.6,18.4,4.6,1.3,0.4,-,-,-,-,0.3,0.2,-,0.1,2.3,1,3.2,Antonino Gallo,27,2256,-,2,3,1,0.3,71.2,0.8,-,6.67,SerieA,US Lecce,Left-Back,left,"Jun 30, 2026",€4.50m
54,Torino,29 years old (04-03-1996),"1,80m",Paraguay,Forward,3.2,0.9,2.3,-,-,-,-,-,-,-,-,-,0.2,0.1,-,0.5,0.2,0.2,0.4,0.5,0.7,0.1,0.1,-,,-,0.4,-,0.4,-,10.6,0.1,0.1,8.3,2.1,1.3,0.9,-,-,-,-,0.8,0.2,0.1,0.5,0.1,0.1,0.3,Antonio Sanabria,15(9),1254,2,1,2,-,0.8,79.1,0.9,-,6.24,SerieA,Torino FC,Centre-Forward,right,"Jun 30, 2026",€4.00m
55,Empoli,28 years old (30-09-1996),"1,87m",Albania,Defender (Centre),4.7,2.8,1.9,-,-,-,-,-,-,-,0.9,0.1,0.3,-,-,8.4,-,-,-,0.9,0.6,-,-,-,,1.9,-,-,-,-,33.4,1.9,2.2,26.9,2.4,0.3,-,-,-,-,-,0.2,-,0.1,0.1,1,0.1,1.1,Ardian Ismajli,25,2150,-,-,1,-,0.2,86.2,2.8,2,6.9,SerieA,FC Empoli,Centre-Back,right,"Jun 30, 2025",€6.00m
56,Lazio,19 years old (11-12-2005),"1,76m",Germany,Attacking Midfielder (Left),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,4,-,-,3,1,-,-,-,-,-,-,2,2,-,-,-,-,-,Arijon Ibrahimovic,0(1),7,-,-,-,-,2,75,-,-,5.89,SerieA,SS Lazio,Attacking Midfield,right,"Jun 30, 2025",€4.00m
57,Monza,33 years old (02-03-1992),"1,83m",Italy,Defender (Centre),4.4,2,2.4,-,-,-,-,-,-,-,1,0.1,0.3,0.4,-,3.3,0.1,0.2,0.3,1.6,2.2,-,-,-,,1.6,0.4,0.1,0.3,-,49.6,3.3,2.8,40.5,3,0.7,0.2,-,-,-,-,0.2,-,-,0.1,1.4,0.6,2,Armando Izzo,28(1),2429,1,1,12,-,0.2,88.3,2,2,6.6,SerieA,AC Monza,Centre-Back,right,"Jun 30, 2026",€2.50m
58,Roma,27 years old (21-06-1997),"1,89m",Ukraine,Forward,3.2,1.3,1.9,-,-,-,-,-,0.1,0.1,0.1,-,0.2,-,-,0.4,0.4,0.2,0.6,0.4,1,0.4,0.2,-,,0.1,0.7,-,0.7,0.7,13.2,-,-,9.9,3.3,2.5,1,-,-,-,-,2.1,0.4,0.3,1.4,0.1,0.1,0.3,Artem Dovbyk,25(5),2269,11,2,-,-,2.1,75.3,1.3,2,6.68,SerieA,AS Roma,Centre-Forward,left,"Jun 30, 2029",€30.00m
59,Udinese,22 years old (14-01-2003),"1,89m",France,"Attacking Midfielder (Centre, Right)",1.3,0.5,0.8,-,-,-,-,-,-,-,0.2,0.1,0.1,0.1,-,0.5,1.1,0.9,2,0.5,0.5,-,-,-,,0.3,0.5,-,0.5,-,19.3,0.6,0.8,15.3,2.6,1.2,0.7,-,-,-,-,1,0.4,-,0.5,0.8,0.2,1,Arthur Atta,9(15),1004,-,1,3,-,1,82.1,0.5,-,6.36,SerieA,Udinese Calcio,Central Midfield,right,"Jun 30, 2025",€2.50m
60,Monza,25 years old (08-05-1999),"1,93m",Sweden,Defender (Centre),1.7,1,0.7,-,-,-,-,-,-,-,1.3,-,0.3,-,-,4.3,-,-,-,-,-,-,-,-,,-,-,-,-,-,22,0.7,1,18,2.3,-,-,-,-,-,-,-,-,-,-,0.7,-,0.7,Arvid Brorsson,1(2),105,-,-,-,-,-,84.8,1,-,6.14,SerieA,AC Monza,Centre-Back,right,"Jun 30, 2027",€600k
61,Como,19 years old (07-09-2005),"1,85m",,"Attacking Midfielder (Left, Right)",3.5,1.2,2.3,-,-,-,-,-,0.1,0.1,0.1,0.4,0.5,0.1,-,0.9,3.5,1.3,4.8,3.3,1.3,0.5,0.5,-,,0.2,0.5,-,0.5,0.4,19.1,0.3,0.1,15.5,3.2,3.3,2.5,-,-,-,-,1.9,0.2,0.1,1.6,1.7,1.1,2.7,Assane Diao,14(1),1259,8,1,2,-,1.9,82.9,1.2,2,7.03,SerieA,Como 1907,Right Winger,right,"Jun 30, 2029",€25.00m
62,Lecce,24 years old (15-05-2000),"1,86m",France,Defensive Midfielder (C),2,1,1.1,-,-,-,-,-,-,-,0.1,0.1,0.5,0.1,-,1.1,0.4,0.4,0.8,0.7,1,-,-,-,,0.7,0.3,-,0.3,-,27.1,1.1,1.4,21.9,2.7,0.9,0.3,-,-,-,-,0.2,0.1,-,0.1,1.7,0.6,2.3,Balthazar Pierret,18(9),1555,-,-,2,-,0.2,84.6,1,-,6.34,SerieA,US Lecce,Defensive Midfield,left,"Jun 30, 2027",€1.50m
63,Inter,29 years old (28-03-1996),"1,86m",France,"Defender (Centre, Left, Right), Midfielder (Right)",3.2,1.7,1.4,-,-,-,-,-,-,-,0.5,0.1,0.2,0.2,-,2.2,0.1,-,0.1,0.4,0.8,-,-,-,,0.7,0.3,-,0.3,0.1,48.7,1.8,1.3,43,2.6,0.2,-,-,-,-,-,0.3,0.1,0.1,0.2,1.3,0.3,1.6,Benjamin Pavard,18(5),1585,-,1,4,-,0.3,92,1.7,-,6.68,SerieA,Inter Milan,Centre-Back,right,"Jun 30, 2028",€30.00m
64,Atalanta,32 years old (19-02-1993),"1,90m",Albania,Defender (Centre),4,2.6,1.5,-,-,-,-,-,0.1,0.1,0.6,0.1,0.4,0.1,-,3.5,0.1,-,0.1,0.6,0.6,-,-,-,,1.2,0.3,-,0.3,-,49.3,1.7,1.7,41.8,4,0.3,-,-,-,-,-,0.6,-,-,0.6,1.5,0.3,1.8,Berat Djimsiti,29(2),2391,1,2,4,-,0.6,88.4,2.6,1,6.88,SerieA,Atalanta BC,Centre-Back,right,"Jun 30, 2026",€8.00m
65,Napoli,23 years old (11-06-2001),"1,70m",Scotland,Defensive Midfielder (C),0.8,0.4,0.4,-,-,-,-,-,-,-,-,0.1,0.2,-,-,0.6,0.1,0.2,0.4,0.5,0.5,-,-,-,,0.3,0.7,0.3,0.5,-,29.6,1.1,0.8,25.1,2.6,0.3,0.2,-,-,-,-,0.3,0.3,-,-,0.9,0.4,1.2,Billy Gilmour,11(11),902,-,1,-,-,0.3,88.7,0.4,-,6.45,SerieA,SSC Napoli,Defensive Midfield,right,"Jun 30, 2029",€16.00m
66,Venezia,24 years old (11-05-2000),"1,80m",Iceland,Midfielder,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.2,-,0.4,0.6,0.1,0.7,0.9,0.2,-,-,-,,0.2,0.1,-,0.1,-,8.4,0.1,0.1,7.4,0.8,0.2,-,-,-,-,-,-,-,-,-,0.3,0.1,0.4,Bjarki Bjarkason,1(8),159,-,-,2,-,-,89.5,-,-,6.13,SerieA,Venezia FC,Left Midfield,right,"Jun 30, 2027",€800k
67,Torino,27 years old (21-01-1998),"1,87m",Croatia,"Defender (Left), Midfielder (Left)",1.8,0.8,1,-,-,-,-,-,-,-,0.3,0.3,0.4,-,-,1.5,0.2,0.2,0.4,0.4,0.6,-,-,-,,0.7,0.6,0.1,0.5,0.1,27.9,1.1,1.6,22.1,3.1,0.5,0.1,-,-,-,-,0.2,0.1,-,0.2,1.4,0.5,1.8,Borna Sosa,14(5),1187,-,-,-,-,0.2,83.1,0.8,1,6.51,SerieA,Torino FC,Left Midfield,left,"Jun 30, 2025",€6.00m
68,Parma Calcio 1913,22 years old (06-06-2002),"1,89m",Hungary,Defender (Centre),2.3,1.3,1.1,-,-,-,-,-,-,-,0.9,0.2,0.3,0.2,-,4.8,-,-,-,0.2,0.6,-,-,-,,0.9,0.1,-,0.1,-,34.7,1.6,1.5,29.6,2.1,0.3,-,-,-,-,-,0.1,-,-,-,1.1,0.2,1.3,Botond Balogh,21(5),1860,-,1,4,-,0.1,89.8,1.3,-,6.55,SerieA,Parma Calcio 1913,Centre-Back,right,"Jun 30, 2027",€2.50m
69,Lazio,28 years old (16-11-1996),"1,80m",Senegal,"Attacking Midfielder (Centre, Right), Forward",2.3,0.6,1.6,-,-,-,-,-,0.1,0.1,-,-,0.3,0.1,-,0.4,0.7,0.5,1.2,0.7,0.7,0.3,0.2,-,,0.2,0.7,-,0.7,0.1,16.8,0.6,0.1,13.7,2.4,1,0.9,-,-,-,-,1,0.1,0.1,0.8,0.6,0.3,0.9,Boulaye Dia,24(7),1921,8,3,2,-,1,84.8,0.6,2,6.66,SerieA,SS Lazio,Centre-Forward,right,"Jun 30, 2026",€15.00m
70,Juventus,28 years old (18-03-1997),"1,88m",Brazil,Defender (Centre),3.2,2,1.2,-,-,-,-,-,-,-,1.8,0.3,0.7,0.2,-,2.3,0.2,0.5,0.7,0.8,1.5,-,-,-,,1,-,-,-,-,83.8,3.7,1.8,74.2,4.2,0.7,0.3,-,-,-,-,0.5,0.2,-,0.3,2.5,0.2,2.7,Bremer,6,540,-,-,1,-,0.5,92.8,2,1,7.35,SerieA,Juventus FC,Centre-Back,right,"Jun 30, 2029",€50.00m
71,Udinese,25 years old (16-01-2000),"1,75m",Brazil,"Attacking Midfielder (Centre), Forward",0.6,0.2,0.3,0.1,0.1,-,-,-,0.1,0.2,-,0.1,0.4,-,-,0.6,0.2,0.3,0.6,0.6,-,0.1,0.1,-,,0.1,0.6,0.3,0.2,-,11.2,0.4,0.6,8.8,1.4,0.6,1,-,-,-,-,0.8,0.3,-,0.4,0.7,0.6,1.2,Brenner,5(4),386,1,2,-,-,0.8,82.2,0.2,-,6.54,SerieA,Udinese Calcio,Centre-Forward,right,"Jun 30, 2028",€4.50m
72,Genoa,21 years old (12-01-2004),"1,81m",England,"Defender (Right), Midfielder (Right)",1,0.6,0.4,-,-,-,-,-,-,-,-,0.3,0.4,-,-,0.6,0.9,-,0.9,0.1,0.3,-,-,-,,0.3,0.1,-,0.1,-,12.2,0.6,0.6,8.6,2.4,0.8,0.2,-,-,-,-,0.2,0.1,-,0.1,0.9,0.1,1,Brooke Norton Cuffy,4(6),374,-,-,-,-,0.2,75.4,0.6,-,6.16,SerieA,Genoa CFC,Right-Back,right,"Jun 30, 2029",€3.50m
73,Roma,30 years old (03-03-1995),"1,86m",Italy,"Defender (Centre), Midfielder (Centre)",3.5,1.9,1.6,-,-,-,-,-,0.1,0.1,0.3,0.1,0.3,0.3,-,1.1,0.2,0.2,0.3,0.3,1,0.1,-,-,,0.6,0.5,0.1,0.4,-,42.6,1.8,1.6,34.2,5,0.8,0.4,-,-,-,-,0.9,0.3,-,0.5,1.6,0.4,2,Bryan Cristante,19(7),1713,2,2,7,-,0.9,84.6,1.9,1,6.69,SerieA,AS Roma,Defensive Midfield,right,"Jun 30, 2027",€7.00m
74,Genoa,31 years old (23-03-1994),"1,82m",Ghana,"Attacking Midfielder (Centre, Left, Right), Forward",1.8,0.7,1.1,0.1,-,-,-,-,0.1,0.2,0.1,-,0.2,0.1,-,0.3,0.4,0.1,0.6,0.5,0.7,0.1,-,-,,0.1,0.4,-,0.4,0.3,5.5,0.2,0.1,3.8,1.4,1,0.8,-,-,-,-,1.1,0.3,0.2,0.7,0.2,-,0.2,Caleb Ekuban,3(13),503,1,3,1,-,1.1,71.6,0.7,-,6.25,SerieA,Genoa CFC,Centre-Forward,right,"Jun 30, 2026",€1.50m
75,Inter,26 years old (07-01-1999),"1,84m",Brazil,"Defender (Centre, Left), Midfielder (Left)",3.4,2.1,1.2,-,-,-,-,-,-,0.1,0.4,0.1,0.4,-,-,1.5,0.2,0.2,0.4,0.5,0.3,0.1,-,-,,0.3,0.3,-,0.3,0.1,35.8,0.9,0.8,31.1,3.1,0.7,0.4,-,-,-,-,0.8,-,0.1,0.6,1,0.2,1.3,Carlos Augusto,12(13),1435,3,2,-,-,0.8,89.2,2.1,1,6.73,SerieA,Inter Milan,Left-Back,left,"Jun 30, 2028",€22.00m
76,Verona,24 years old (01-06-2000),"1,84m",Denmark,Forward,3.3,0.8,2.5,-,-,-,-,-,-,-,-,-,0.2,0.1,-,1.2,0.7,0.4,1.1,0.4,0.2,0.3,0.3,-,,0.1,0.5,-,0.5,0.2,11.6,0.4,0.4,7.8,3,1.5,0.3,-,-,-,-,1.7,0.2,0.1,1.4,0.3,0.2,0.5,Casper Tengstedt,18(4),1396,6,1,2,-,1.7,70.3,0.8,-,6.49,SerieA,Hellas Verona,Centre-Forward,right,"Jun 30, 2025",€7.00m
77,Torino,22 years old (10-01-2003),"1,92m",Italy,Defensive Midfielder (C),6.2,4.1,2.1,-,-,-,-,-,0.1,0.1,0.2,0.1,0.1,-,-,1.7,0.2,0.5,0.7,0.7,1.1,0.1,-,-,,0.5,0.5,-,0.5,-,28.9,0.8,0.4,22.2,5.5,1.2,0.7,-,-,-,-,0.9,0.1,0.3,0.5,0.9,0.4,1.3,Cesare Casadei,10(1),801,1,1,-,-,0.9,79.6,4.1,1,6.84,SerieA,Torino FC,Central Midfield,right,"Jun 30, 2029",€15.00m
78,Bologna,31 years old (22-10-1993),"1,91m",Greece,"Defender (Centre, Left), Midfielder (Left)",2.1,1.3,0.9,0.3,-,-,-,-,-,0.3,0.3,0.4,0.1,0.1,-,1.9,0.3,0.2,0.5,0.5,0.5,-,-,-,,0.6,1.1,0.9,0.3,0.1,31.6,1.8,2.5,23.4,4,0.4,0.2,-,-,-,-,0.3,0.3,-,-,1.1,0.4,1.6,Charalampos Lykogiannis,10(4),863,-,4,2,-,0.3,79.5,1.3,1,6.8,SerieA,Bologna FC 1909,Left-Back,left,"Jun 30, 2025",€1.50m
79,Atalanta,24 years old (10-03-2001),"1,92m",Belgium,"Midfielder (Centre, Left, Right), Forward",2.2,1,1.1,-,-,-,-,-,0.1,0.2,0.1,-,0.3,-,-,0.3,1.4,1.3,2.7,1.1,0.6,0.2,0.1,-,,0.1,1.1,0.1,1,0.1,24.9,0.7,0.5,19,4.8,1.5,1.4,-,-,-,-,1.3,0.1,0.1,1.1,0.4,0.3,0.7,Charles De Ketelaere,22(10),1842,5,5,1,-,1.3,79.1,1,2,6.86,SerieA,Atalanta BC,Attacking Midfield,left,"Jun 30, 2028",€38.00m
80,Venezia,24 years old (26-07-2000),"1,85m",Guinea,Midfielder,1,0.9,0.1,-,-,-,-,-,-,-,0.1,-,0.6,0.3,-,0.4,0.1,0.3,0.4,0.3,0.7,-,-,-,,0.6,0.1,-,0.1,-,6.1,-,-,4.7,1.4,0.1,0.6,-,-,-,-,0.1,0.1,-,-,0.9,0.4,1.3,Cheick Conde,1(6),106,-,-,2,-,0.1,76.7,0.9,-,6.26,SerieA,Venezia FC,Defensive Midfield,right,"Jun 30, 2027",€2.00m
81,Verona,25 years old (19-01-2000),"1,88m",,Defensive Midfielder (C),3.8,1.8,2,-,-,-,-,-,-,-,0.5,-,1.3,0.4,-,2,0.6,0.1,0.8,1.3,1.1,-,-,-,,2,0.1,-,0.1,-,22.8,1.3,0.5,17.4,3.6,1.5,0.6,-,-,-,-,0.4,0.1,-,0.3,1.6,0.8,2.4,Cheikh Niasse,6(2),589,-,-,3,-,0.4,81.9,1.8,-,6.38,SerieA,Hellas Verona,Defensive Midfield,right,"Jun 30, 2025",€2.00m
82,Fiorentina,20 years old (27-07-2004),"1,90m",Italy,Defensive Midfielder (C),4.6,2.2,2.4,-,-,-,-,-,-,-,0.2,-,0.6,-,-,0.8,0.4,-,0.4,1.2,0.6,-,-,-,,0.4,0.2,-,0.2,-,23.6,0.2,0.4,18.4,4.6,0.6,0.8,-,-,-,-,0.2,-,-,0.2,0.6,1,1.6,Cher Ndour,2(3),245,-,-,-,-,0.2,78.8,2.2,-,6.19,SerieA,ACF Fiorentina,Central Midfield,both,"Jun 30, 2029",€5.00m
83,Venezia,34 years old (06-05-1990),"1,85m",Denmark,Forward,2.6,0.8,1.8,-,-,-,-,-,-,-,-,-,-,-,-,0.3,-,-,-,0.2,0.3,0.1,-,-,,-,0.2,-,0.2,0.2,5,0.1,-,2.7,2.2,0.6,0.3,-,-,-,-,0.5,0.1,0.1,0.3,0.2,-,0.3,Christian Gytkjaer,5(21),587,2,-,-,-,0.5,56.6,0.8,-,6.12,SerieA,Venezia FC,Centre-Forward,right,"Jun 30, 2025",€700k
84,Udinese,34 years old (24-02-1991),"1,87m",Belgium,Defender (Centre),3.6,2.2,1.4,-,-,-,-,-,-,-,0.3,0.2,0.4,-,-,3.6,-,0.1,0.1,0.9,1.4,0.1,0.1,-,,0.8,0.4,0.1,0.3,-,36.6,3.3,2.4,28.1,2.9,0.6,0.2,-,-,-,-,1,0.1,0.3,0.6,0.9,0.1,1.1,Christian Kabasele,10(4),997,1,-,-,-,1,85.6,2.2,-,6.62,SerieA,Udinese Calcio,Centre-Back,right,"Jun 30, 2025",€1.00m
85,Empoli,27 years old (06-12-1997),"1,85m",Ivory Coast,"Attacking Midfielder (Left, Right), Forward",2.8,1.6,1.2,-,-,-,-,-,0.1,0.1,0.1,-,0.1,0.1,-,0.6,0.7,0.4,1.1,0.8,0.7,-,-,-,,0.1,0.5,0.1,0.4,0.1,10.2,0.3,0.3,6.9,2.7,0.9,0.7,-,-,-,-,0.6,0.1,0.1,0.4,0.7,0.2,0.9,Christian Kouame,5(13),614,-,1,1,-,0.6,70.5,1.6,-,6.4,SerieA,FC Empoli,Centre-Forward,right,"Jun 30, 2025",€6.00m
86,AC Milan,26 years old (18-09-1998),"1,77m",USA,"Midfielder (Centre, Left, Right), Forward",1.5,0.3,1.2,0.1,0.1,-,-,-,0.1,0.3,0.1,-,0.6,-,-,0.4,1.2,1,2.2,1,0.6,0.3,0.3,-,,0.1,2,0.3,1.7,0.1,26.2,0.5,0.4,21.2,4.1,1.6,1.1,-,-,-,-,1.6,0.5,0.2,1,1.3,0.7,2,Christian Pulisic,25(5),2145,10,8,1,-,1.6,82.7,0.3,4,7.03,SerieA,AC Milan,Right Winger,right,"Jun 30, 2027",€50.00m
87,Lazio,23 years old (17-09-2001),"1,89m",Greece,Goalkeeper,0.6,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,-,-,-,-,-,-,-,-,,-,-,-,-,-,37,7.2,11.4,18,0.4,-,-,2.8,-,2.4,0.4,-,-,-,-,-,-,-,Christos Mandas,5,450,-,-,-,-,-,68.1,0.6,1,7.34,SerieA,SS Lazio,Goalkeeper,right,"Jun 30, 2029",€5.00m
88,Torino,28 years old (13-07-1996),"1,79m",Scotland,"Attacking Midfielder (Centre, Left), Forward",2.7,1,1.7,-,-,-,-,-,0.1,0.1,0.2,-,0.2,0.1,-,0.5,0.8,0.3,1.2,1.1,0.8,0.3,0.2,0.1,,0.1,0.8,-,0.8,0.6,14.9,0.5,0.3,10.6,3.5,1.8,1,-,-,-,-,1.6,0.4,0.2,1,0.3,0.1,0.4,Che Adams,27(5),2345,9,3,3,-,1.6,74.6,1,2,6.62,SerieA,Torino FC,Centre-Forward,right,"Jun 30, 2027",€15.00m
89,Torino,32 years old (01-09-1992),"1,85m",Italy,"Defender (Centre, Left), Midfielder (Left)",1.5,0.7,0.8,-,-,-,-,-,-,-,0.3,0.4,0.5,-,-,2.7,0.6,-,0.6,0.9,0.7,-,-,-,,0.6,1.5,0.9,0.5,-,29.2,1.5,3.3,20.9,3.5,0.6,0.2,-,-,-,-,0.5,0.4,-,0.2,1.1,0.3,1.4,Cristiano Biraghi,9(2),799,-,-,-,-,0.5,76.6,0.7,1,6.65,SerieA,Torino FC,Left-Back,left,"Jun 30, 2025",€2.00m
90,Napoli,24 years old (26-05-2000),"1,80m",Belgium,"Attacking Midfielder (Centre, Right), Forward",0.5,0.3,0.3,-,-,-,-,-,-,-,-,-,0.2,0.1,-,0.3,0.9,0.5,1.3,0.9,0.5,-,-,-,,0.1,0.2,0.1,0.1,0.1,4.5,0.1,0.1,3.8,0.6,0.3,0.5,-,-,-,-,0.8,0.4,-,0.4,0.5,0.1,0.7,Cyril Ngonge,1(14),186,-,-,2,-,0.8,85.3,0.3,-,6.22,SerieA,SSC Napoli,Right Winger,left,"Jun 30, 2028",€10.00m
91,Udinese,20 years old (28-03-2005),"1,87m",Chile,Forward,0.5,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,1.5,-,-,1,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,Damian Pizarro,0(2),14,-,-,-,-,-,66.7,-,-,5.94,SerieA,Udinese Calcio,Centre-Forward,right,"Jun 30, 2029",€4.00m
92,Bologna,24 years old (25-10-2000),"1,84m",Switzerland,"Midfielder (Left, Right)",1.1,0.5,0.6,-,-,-,-,-,0.1,0.1,-,-,0.7,0.1,-,0.1,2,1.3,3.3,3.3,0.8,0.3,0.2,-,,0.3,0.9,-,0.8,0.3,21.5,0.8,0.6,16.2,4,2.5,1.6,-,-,-,-,1.7,0.4,0.2,1.2,0.8,0.4,1.1,Dan Ndoye,24(4),1971,8,3,3,-,1.7,78.6,0.5,6,6.85,SerieA,Bologna FC 1909,Right Winger,right,"Jun 30, 2027",€25.00m
93,Venezia,22 years old (21-08-2002),"1,90m",Czech Republic,Forward,2.5,0.4,2.1,-,-,-,-,-,-,-,-,-,0.6,0.1,0.1,0.5,0.3,0.3,0.5,0.8,1.4,0.1,-,-,,-,0.8,-,0.8,0.4,8.8,0.3,0.3,6.8,1.5,1.6,1.3,-,-,-,-,0.8,0.1,0.1,0.5,0.3,0.3,0.5,Daniel Fila,5(3),408,1,-,1,1,0.8,80,0.4,-,6.03,SerieA,Venezia FC,Centre-Forward,left,"Jun 30, 2029",€3.00m
94,Atalanta,23 years old (11-10-2001),"1,88m",Italy,"Attacking Midfielder (Centre, Left), Forward",2.5,1.2,1.4,-,-,-,-,-,-,-,0.1,0.2,0.3,0.3,-,0.5,2.1,1.5,3.6,2,0.8,0.2,0.1,0.1,,0.2,0.6,0.1,0.6,0.1,17.1,0.8,0.4,11.9,4,1.8,1.6,-,-,-,-,2,1,0.2,0.8,0.7,0.4,1,Daniel Maldini,16(4),1317,3,-,5,-,2,74.2,1.2,1,6.54,SerieA,Atalanta BC,Attacking Midfield,right,"Jun 30, 2029",€10.00m
95,Verona,25 years old (20-10-1999),"1,80m",Colombia,Forward,5,2.3,2.7,-,-,-,-,-,-,-,-,-,0.3,0.1,-,0.3,0.3,0.5,0.8,0.5,1.3,0.2,0.1,-,,-,0.4,-,0.4,0.2,9.8,0.1,0.1,6.7,2.8,1.4,0.5,-,-,-,-,1.7,0.3,0.4,1.1,0.3,0.4,0.7,Daniel Mosquera,12(19),1258,5,1,3,-,1.7,69.7,2.3,1,6.44,SerieA,Hellas Verona,Centre-Forward,right,"Jun 30, 2028",€1.50m
96,Verona,22 years old (03-01-2003),"1,88m",England,"Defender (Centre, Right), Midfielder (Right)",0.4,-,0.4,-,-,-,-,-,-,-,-,0.2,0.2,0.2,-,1.2,0.2,0.4,0.6,-,0.4,-,-,-,,0.2,-,-,-,-,5.4,0.2,0.4,4.2,0.6,0.4,0.4,-,-,-,-,0.2,0.2,-,-,0.4,-,0.4,Daniel Oyegoke,0(5),99,-,-,1,-,0.2,81.5,-,-,6.14,SerieA,Hellas Verona,Right-Back,right,"Jun 30, 2028",€400k
97,Verona,22 years old (06-01-2003),"1,89m",Italy,Defender (Centre),3.7,1.9,1.9,-,-,-,-,-,-,-,0.6,0.1,0.6,0.3,-,4.1,0.3,0.1,0.4,1.3,1.2,-,-,-,,1.1,0.2,-,0.2,-,33.4,1.8,3.4,25.2,3,0.4,0.1,-,-,-,-,0.5,-,-,0.4,1.8,0.7,2.5,Daniele Ghilardi,18(3),1761,-,-,7,1,0.5,80.8,1.9,-,6.6,SerieA,Hellas Verona,Centre-Back,right,-,€4.00m
98,Udinese,39 years old (25-10-1985),"1,91m",Italy,Goalkeeper,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,18,3,5,10,-,-,-,3,-,2,1,-,-,-,-,-,1,1,Daniele Padelli,1,90,-,-,-,-,-,72.2,-,-,7.47,SerieA,Udinese Calcio,Goalkeeper,right,"Jun 30, 2025",€150k
